agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N,opti_objective,functype
20,warehouse-10-20-10-2-1.map,planner,1,1750,1552,185,185,1653,1552,1,0,0,False,warehouse-10-20-10-2-1-random-17.scen,20,False,
20,warehouse-10-20-10-2-1.map,planner,1,1556,1552,185,185,1556,1552,11089,0,0,False,warehouse-10-20-10-2-1-random-17.scen,20,True,
20,warehouse-10-20-10-2-1.map,planner,1,1750,1552,185,185,1653,1552,1,0,0,True,warehouse-10-20-10-2-1-random-17.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1556,1552,185,185,1556,1552,11115,0,0,True,warehouse-10-20-10-2-1-random-17.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1750,1552,185,185,1653,1552,1,0,4,True,warehouse-10-20-10-2-1-random-17.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1556,1552,185,185,1556,1552,11089,0,4,True,warehouse-10-20-10-2-1-random-17.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1750,1552,185,185,1653,1552,1,0,16,True,warehouse-10-20-10-2-1-random-17.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1556,1552,185,185,1556,1552,11115,0,16,True,warehouse-10-20-10-2-1-random-17.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1750,1552,185,185,1653,1552,2,0,64,True,warehouse-10-20-10-2-1-random-17.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1556,1552,185,185,1556,1552,11106,0,64,True,warehouse-10-20-10-2-1-random-17.scen,20,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,10945,8671,185,185,10151,8671,8,0,0,False,warehouse-10-20-10-2-1-random-17.scen,100,False,
100,warehouse-10-20-10-2-1.map,planner,1,10798,8671,200,185,9975,8671,10170,0,0,False,warehouse-10-20-10-2-1-random-17.scen,100,True,
100,warehouse-10-20-10-2-1.map,planner,1,11750,8671,236,185,10537,8671,847,0,0,True,warehouse-10-20-10-2-1-random-17.scen,100,False,opti
100,warehouse-10-20-10-2-1.map,planner,1,11614,8671,232,185,10527,8671,10206,0,0,True,warehouse-10-20-10-2-1-random-17.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,12008,8671,266,185,10887,8671,690,0,4,True,warehouse-10-20-10-2-1-random-17.scen,100,False,opti
100,warehouse-10-20-10-2-1.map,planner,1,11372,8671,310,185,10406,8671,10306,0,4,True,warehouse-10-20-10-2-1-random-17.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,12008,8671,266,185,10887,8671,680,0,16,True,warehouse-10-20-10-2-1-random-17.scen,100,False,opti
100,warehouse-10-20-10-2-1.map,planner,1,11577,8671,254,185,10596,8671,10369,0,16,True,warehouse-10-20-10-2-1-random-17.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,12008,8671,266,185,10887,8671,747,0,64,True,warehouse-10-20-10-2-1-random-17.scen,100,False,opti
100,warehouse-10-20-10-2-1.map,planner,1,11577,8671,254,185,10596,8671,10295,0,64,True,warehouse-10-20-10-2-1-random-17.scen,100,True,opti
180,warehouse-10-20-10-2-1.map,planner,1,20465,14387,252,185,17999,14387,17,0,0,False,warehouse-10-20-10-2-1-random-17.scen,180,False,
180,warehouse-10-20-10-2-1.map,planner,1,20465,14387,252,185,17999,14387,10320,0,0,False,warehouse-10-20-10-2-1-random-17.scen,180,True,
180,warehouse-10-20-10-2-1.map,planner,0,0,14387,0,185,0,14387,10486,0,0,True,warehouse-10-20-10-2-1-random-17.scen,180,False,opti
180,warehouse-10-20-10-2-1.map,planner,0,0,14387,0,185,0,14387,10472,0,0,True,warehouse-10-20-10-2-1-random-17.scen,180,True,opti
180,warehouse-10-20-10-2-1.map,planner,0,0,14387,0,185,0,14387,10471,0,4,True,warehouse-10-20-10-2-1-random-17.scen,180,False,opti
180,warehouse-10-20-10-2-1.map,planner,0,0,14387,0,185,0,14387,10470,0,4,True,warehouse-10-20-10-2-1-random-17.scen,180,True,opti
180,warehouse-10-20-10-2-1.map,planner,0,0,14387,0,185,0,14387,10465,0,16,True,warehouse-10-20-10-2-1-random-17.scen,180,False,opti
180,warehouse-10-20-10-2-1.map,planner,0,0,14387,0,185,0,14387,10453,0,16,True,warehouse-10-20-10-2-1-random-17.scen,180,True,opti
180,warehouse-10-20-10-2-1.map,planner,0,0,14387,0,185,0,14387,10480,0,64,True,warehouse-10-20-10-2-1-random-17.scen,180,False,opti
180,warehouse-10-20-10-2-1.map,planner,0,0,14387,0,185,0,14387,10460,0,64,True,warehouse-10-20-10-2-1-random-17.scen,180,True,opti
260,warehouse-10-20-10-2-1.map,planner,1,32556,20192,261,192,27982,20192,25,0,0,False,warehouse-10-20-10-2-1-random-17.scen,260,False,
260,warehouse-10-20-10-2-1.map,planner,1,31782,20192,269,192,27437,20192,10394,0,0,False,warehouse-10-20-10-2-1-random-17.scen,260,True,
260,warehouse-10-20-10-2-1.map,planner,0,0,20192,0,192,0,20192,10348,0,0,True,warehouse-10-20-10-2-1-random-17.scen,260,False,opti
260,warehouse-10-20-10-2-1.map,planner,0,0,20192,0,192,0,20192,10321,0,0,True,warehouse-10-20-10-2-1-random-17.scen,260,True,opti
260,warehouse-10-20-10-2-1.map,planner,0,0,20192,0,192,0,20192,10295,0,4,True,warehouse-10-20-10-2-1-random-17.scen,260,False,opti
260,warehouse-10-20-10-2-1.map,planner,0,0,20192,0,192,0,20192,10296,0,4,True,warehouse-10-20-10-2-1-random-17.scen,260,True,opti
260,warehouse-10-20-10-2-1.map,planner,0,0,20192,0,192,0,20192,10304,0,16,True,warehouse-10-20-10-2-1-random-17.scen,260,False,opti
260,warehouse-10-20-10-2-1.map,planner,0,0,20192,0,192,0,20192,10286,0,16,True,warehouse-10-20-10-2-1-random-17.scen,260,True,opti
260,warehouse-10-20-10-2-1.map,planner,0,0,20192,0,192,0,20192,10300,0,64,True,warehouse-10-20-10-2-1-random-17.scen,260,False,opti
260,warehouse-10-20-10-2-1.map,planner,0,0,20192,0,192,0,20192,10295,0,64,True,warehouse-10-20-10-2-1-random-17.scen,260,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1445,1369,167,167,1396,1369,1,0,0,False,warehouse-10-20-10-2-1-random-9.scen,20,False,
20,warehouse-10-20-10-2-1.map,planner,1,1371,1369,167,167,1371,1369,10933,0,0,False,warehouse-10-20-10-2-1-random-9.scen,20,True,
20,warehouse-10-20-10-2-1.map,planner,1,1445,1369,167,167,1396,1369,1,0,0,True,warehouse-10-20-10-2-1-random-9.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1371,1369,167,167,1371,1369,10943,0,0,True,warehouse-10-20-10-2-1-random-9.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1445,1369,167,167,1396,1369,1,0,4,True,warehouse-10-20-10-2-1-random-9.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1371,1369,167,167,1371,1369,10936,0,4,True,warehouse-10-20-10-2-1-random-9.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1445,1369,167,167,1396,1369,1,0,16,True,warehouse-10-20-10-2-1-random-9.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1371,1369,167,167,1371,1369,10939,0,16,True,warehouse-10-20-10-2-1-random-9.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1445,1369,167,167,1396,1369,1,0,64,True,warehouse-10-20-10-2-1-random-9.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1371,1369,167,167,1371,1369,10930,0,64,True,warehouse-10-20-10-2-1-random-9.scen,20,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,11156,8856,254,190,10206,8856,9,0,0,False,warehouse-10-20-10-2-1-random-9.scen,100,False,
100,warehouse-10-20-10-2-1.map,planner,1,11098,8856,204,190,10052,8856,10231,0,0,False,warehouse-10-20-10-2-1-random-9.scen,100,True,
100,warehouse-10-20-10-2-1.map,planner,1,11387,8856,196,190,10501,8856,29,0,0,True,warehouse-10-20-10-2-1-random-9.scen,100,False,opti
100,warehouse-10-20-10-2-1.map,planner,1,11104,8856,200,190,10197,8856,10331,0,0,True,warehouse-10-20-10-2-1-random-9.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,11753,8856,275,190,10603,8856,45,0,4,True,warehouse-10-20-10-2-1-random-9.scen,100,False,opti
100,warehouse-10-20-10-2-1.map,planner,1,11753,8856,275,190,10603,8856,10157,0,4,True,warehouse-10-20-10-2-1-random-9.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,11753,8856,275,190,10603,8856,41,0,16,True,warehouse-10-20-10-2-1-random-9.scen,100,False,opti
100,warehouse-10-20-10-2-1.map,planner,1,11753,8856,275,190,10603,8856,10169,0,16,True,warehouse-10-20-10-2-1-random-9.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,11753,8856,275,190,10603,8856,42,0,64,True,warehouse-10-20-10-2-1-random-9.scen,100,False,opti
100,warehouse-10-20-10-2-1.map,planner,1,11753,8856,275,190,10603,8856,10169,0,64,True,warehouse-10-20-10-2-1-random-9.scen,100,True,opti
